task_id	gap_kind	upstream_item	required_fixture	target_area	fixture_location	status
diagnostic:17021:Diagnostics.Unicode_escape_sequence_cannot_appear_here	diagnostic	Diagnostics.Unicode_escape_sequence_cannot_appear_here (TS17021)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:18009:Diagnostics.Private_identifiers_cannot_be_used_as_parameters	diagnostic	Diagnostics.Private_identifiers_cannot_be_used_as_parameters (TS18009)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:18016:Diagnostics.Private_identifiers_are_not_allowed_outside_class_bodies	diagnostic	Diagnostics.Private_identifiers_are_not_allowed_outside_class_bodies (TS18016)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:18029:Diagnostics.Private_identifiers_are_not_allowed_in_variable_declarations	diagnostic	Diagnostics.Private_identifiers_are_not_allowed_in_variable_declarations (TS18029)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:18030:Diagnostics.An_optional_chain_cannot_contain_private_identifiers	diagnostic	Diagnostics.An_optional_chain_cannot_contain_private_identifiers (TS18030)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:2657:Diagnostics.JSX_expressions_must_have_one_parent_element	diagnostic	Diagnostics.JSX_expressions_must_have_one_parent_element (TS2657)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:8009:Diagnostics.The_0_modifier_can_only_be_used_in_TypeScript_files	diagnostic	Diagnostics.The_0_modifier_can_only_be_used_in_TypeScript_files (TS8009)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:8033:Diagnostics.A_JSDoc_typedef_comment_may_not_contain_multiple_type_tags	diagnostic	Diagnostics.A_JSDoc_typedef_comment_may_not_contain_multiple_type_tags (TS8033)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:8034:Diagnostics.The_tag_was_first_specified_here	diagnostic	Diagnostics.The_tag_was_first_specified_here (TS8034)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
diagnostic:8039:Diagnostics.A_JSDoc_template_tag_may_not_follow_a_typedef_callback_or_overload_tag	diagnostic	Diagnostics.A_JSDoc_template_tag_may_not_follow_a_typedef_callback_or_overload_tag (TS8039)	Add a fixed public-parser, scanner-report-errors, or JSON-wrapper fixture matching its audited reachability.	diagnostics/source	diagnostic_wbtest.mbt; parser_invariants_wbtest.mbt; references/diagnostics; scripts/audit-test-coverage.mjs	complete
feature-family:jsdoc-complete	feature_family	JSDoc (only 3 legacy AST files)	Add fixed JS fixtures for every JSDoc node/tag kind and diagnostic flow.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
projection:named-child-edges	projection_dimension	named child edges	Extend the structured reference and add a fixed fixture for named child edges.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:node-specific-fields	projection_dimension	node-specific fields	Extend the structured reference and add a fixed fixture for node-specific fields.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:nodearray-metadata	projection_dimension	NodeArray metadata	Extend the structured reference and add a fixed fixture for NodeArray metadata.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:nodeflags-transformflags-tokenflags	projection_dimension	NodeFlags/TransformFlags/TokenFlags	Extend the structured reference and add a fixed fixture for NodeFlags/TransformFlags/TokenFlags.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:numeric-kind	projection_dimension	numeric kind	Extend the structured reference and add a fixed fixture for numeric kind.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:parent-links	projection_dimension	parent links	Extend the structured reference and add a fixed fixture for parent links.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:raw-pos-end	projection_dimension	raw pos/end	Extend the structured reference and add a fixed fixture for raw pos/end.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:sourcefile-metadata	projection_dimension	SourceFile metadata	Extend the structured reference and add a fixed fixture for SourceFile metadata.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
projection:structured-diagnostic-chains-and-related-information	projection_dimension	structured diagnostic chains and related information	Extend the structured reference and add a fixed fixture for structured diagnostic chains and related information.	structured-reference	scripts/ts-reference.mjs; tools/structure; scripts/audit-structured.mjs	complete
script-kind:JS	script_kind	JS	Add committed JS input plus AST, structured diagnostic, and SourceFile metadata references.	jsx/source	fixtures/structured/basic.js; scripts/audit-structured.mjs	complete
script-kind:JSON	script_kind	JSON	Add committed JSON input plus AST, structured diagnostic, and SourceFile metadata references.	source	fixtures/structured/basic.json; scripts/audit-structured.mjs	complete
script-kind:JSX	script_kind	JSX	Add committed JSX input plus AST, structured diagnostic, and SourceFile metadata references.	jsx/source	fixtures/structured/basic.jsx; scripts/audit-structured.mjs	complete
syntax-kind:AmpersandAmpersandEqualsToken	runtime_kind	AmpersandAmpersandEqualsToken	Add the smallest fixed reference that creates runtime kind AmpersandAmpersandEqualsToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:AsKeyword	runtime_kind	AsKeyword	Add the smallest fixed reference that creates runtime kind AsKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:AssertKeyword	runtime_kind	AssertKeyword	Add the smallest fixed reference that creates runtime kind AssertKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:AtToken	runtime_kind	AtToken	Add the smallest fixed reference that creates runtime kind AtToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:BacktickToken	runtime_kind	BacktickToken	Add the smallest fixed reference that creates runtime kind BacktickToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:BarBarEqualsToken	runtime_kind	BarBarEqualsToken	Add the smallest fixed reference that creates runtime kind BarBarEqualsToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:Bundle	runtime_kind	Bundle	Add the smallest fixed reference that creates runtime kind Bundle, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CaseKeyword	runtime_kind	CaseKeyword	Add the smallest fixed reference that creates runtime kind CaseKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CatchKeyword	runtime_kind	CatchKeyword	Add the smallest fixed reference that creates runtime kind CatchKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ClassKeyword	runtime_kind	ClassKeyword	Add the smallest fixed reference that creates runtime kind ClassKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CloseBraceToken	runtime_kind	CloseBraceToken	Add the smallest fixed reference that creates runtime kind CloseBraceToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CloseBracketToken	runtime_kind	CloseBracketToken	Add the smallest fixed reference that creates runtime kind CloseBracketToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CloseParenToken	runtime_kind	CloseParenToken	Add the smallest fixed reference that creates runtime kind CloseParenToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:CommaListExpression	runtime_kind	CommaListExpression	Add the smallest fixed reference that creates runtime kind CommaListExpression, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ConstructorKeyword	runtime_kind	ConstructorKeyword	Add the smallest fixed reference that creates runtime kind ConstructorKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ContinueKeyword	runtime_kind	ContinueKeyword	Add the smallest fixed reference that creates runtime kind ContinueKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:DebuggerKeyword	runtime_kind	DebuggerKeyword	Add the smallest fixed reference that creates runtime kind DebuggerKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:DeleteKeyword	runtime_kind	DeleteKeyword	Add the smallest fixed reference that creates runtime kind DeleteKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:DoKeyword	runtime_kind	DoKeyword	Add the smallest fixed reference that creates runtime kind DoKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:DotToken	runtime_kind	DotToken	Add the smallest fixed reference that creates runtime kind DotToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ElseKeyword	runtime_kind	ElseKeyword	Add the smallest fixed reference that creates runtime kind ElseKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:EnumKeyword	runtime_kind	EnumKeyword	Add the smallest fixed reference that creates runtime kind EnumKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ExtendsKeyword	runtime_kind	ExtendsKeyword	Add the smallest fixed reference that creates runtime kind ExtendsKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FinallyKeyword	runtime_kind	FinallyKeyword	Add the smallest fixed reference that creates runtime kind FinallyKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstFutureReservedWord	runtime_kind	FirstFutureReservedWord	Add the smallest fixed reference that creates runtime kind FirstFutureReservedWord, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstJSDocNode	runtime_kind	FirstJSDocNode	Add the smallest fixed reference that creates runtime kind FirstJSDocNode, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstJSDocTagNode	runtime_kind	FirstJSDocTagNode	Add the smallest fixed reference that creates runtime kind FirstJSDocTagNode, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstKeyword	runtime_kind	FirstKeyword	Add the smallest fixed reference that creates runtime kind FirstKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstPunctuation	runtime_kind	FirstPunctuation	Add the smallest fixed reference that creates runtime kind FirstPunctuation, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstToken	runtime_kind	FirstToken	Add the smallest fixed reference that creates runtime kind FirstToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FirstTriviaToken	runtime_kind	FirstTriviaToken	Add the smallest fixed reference that creates runtime kind FirstTriviaToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ForKeyword	runtime_kind	ForKeyword	Add the smallest fixed reference that creates runtime kind ForKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FromKeyword	runtime_kind	FromKeyword	Add the smallest fixed reference that creates runtime kind FromKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:FunctionKeyword	runtime_kind	FunctionKeyword	Add the smallest fixed reference that creates runtime kind FunctionKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:GetKeyword	runtime_kind	GetKeyword	Add the smallest fixed reference that creates runtime kind GetKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:GlobalKeyword	runtime_kind	GlobalKeyword	Add the smallest fixed reference that creates runtime kind GlobalKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:HashToken	runtime_kind	HashToken	Add the smallest fixed reference that creates runtime kind HashToken, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:IfKeyword	runtime_kind	IfKeyword	Add the smallest fixed reference that creates runtime kind IfKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:ImportTypeAssertionContainer	runtime_kind	ImportTypeAssertionContainer	Add the smallest fixed reference that creates runtime kind ImportTypeAssertionContainer, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:InferKeyword	runtime_kind	InferKeyword	Add the smallest fixed reference that creates runtime kind InferKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:InterfaceKeyword	runtime_kind	InterfaceKeyword	Add the smallest fixed reference that creates runtime kind InterfaceKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:IntrinsicKeyword	runtime_kind	IntrinsicKeyword	Add the smallest fixed reference that creates runtime kind IntrinsicKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:IsKeyword	runtime_kind	IsKeyword	Add the smallest fixed reference that creates runtime kind IsKeyword, or record it as parser-nonconstructible.	syntax-kind/factory/traversal	syntax_kind_wbtest.mbt; scanner_token_coverage_wbtest.mbt; node_factory_contract_wbtest.mbt; scripts/audit-test-coverage.mjs	complete_scanner_factory_or_nonconstructible
syntax-kind:JSDocAllType	runtime_kind	JSDocAllType	Add the smallest fixed reference that creates runtime kind JSDocAllType, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocAugmentsTag	runtime_kind	JSDocAugmentsTag	Add the smallest fixed reference that creates runtime kind JSDocAugmentsTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocAuthorTag	runtime_kind	JSDocAuthorTag	Add the smallest fixed reference that creates runtime kind JSDocAuthorTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocCallbackTag	runtime_kind	JSDocCallbackTag	Add the smallest fixed reference that creates runtime kind JSDocCallbackTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocClassTag	runtime_kind	JSDocClassTag	Add the smallest fixed reference that creates runtime kind JSDocClassTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocComment	runtime_kind	JSDocComment	Add the smallest fixed reference that creates runtime kind JSDocComment, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocCommentTextToken	runtime_kind	JSDocCommentTextToken	Add the smallest fixed reference that creates runtime kind JSDocCommentTextToken, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocDeprecatedTag	runtime_kind	JSDocDeprecatedTag	Add the smallest fixed reference that creates runtime kind JSDocDeprecatedTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocEnumTag	runtime_kind	JSDocEnumTag	Add the smallest fixed reference that creates runtime kind JSDocEnumTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocFunctionType	runtime_kind	JSDocFunctionType	Add the smallest fixed reference that creates runtime kind JSDocFunctionType, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocImplementsTag	runtime_kind	JSDocImplementsTag	Add the smallest fixed reference that creates runtime kind JSDocImplementsTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocLink	runtime_kind	JSDocLink	Add the smallest fixed reference that creates runtime kind JSDocLink, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocLinkCode	runtime_kind	JSDocLinkCode	Add the smallest fixed reference that creates runtime kind JSDocLinkCode, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocLinkPlain	runtime_kind	JSDocLinkPlain	Add the smallest fixed reference that creates runtime kind JSDocLinkPlain, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocMemberName	runtime_kind	JSDocMemberName	Add the smallest fixed reference that creates runtime kind JSDocMemberName, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocNamepathType	runtime_kind	JSDocNamepathType	Add the smallest fixed reference that creates runtime kind JSDocNamepathType, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocNameReference	runtime_kind	JSDocNameReference	Add the smallest fixed reference that creates runtime kind JSDocNameReference, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocOptionalType	runtime_kind	JSDocOptionalType	Add the smallest fixed reference that creates runtime kind JSDocOptionalType, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocOverloadTag	runtime_kind	JSDocOverloadTag	Add the smallest fixed reference that creates runtime kind JSDocOverloadTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocOverrideTag	runtime_kind	JSDocOverrideTag	Add the smallest fixed reference that creates runtime kind JSDocOverrideTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocParameterTag	runtime_kind	JSDocParameterTag	Add the smallest fixed reference that creates runtime kind JSDocParameterTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocPrivateTag	runtime_kind	JSDocPrivateTag	Add the smallest fixed reference that creates runtime kind JSDocPrivateTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
syntax-kind:JSDocPropertyTag	runtime_kind	JSDocPropertyTag	Add the smallest fixed reference that creates runtime kind JSDocPropertyTag, or record it as parser-nonconstructible.	jsdoc	fixtures/jsdoc; parser_jsdoc_wbtest.mbt; scripts/audit-parser-jsdoc.mjs	complete
